2019-02-20 14:22:49	OK
2019-02-20 14:22:49	
2019-02-20 14:22:49	+CSQ: 99,99
2019-02-20 14:22:49	
2019-02-20 14:22:49	OK
2019-02-20 14:22:49	
2019-02-20 14:22:49	+CEREG: 2,2
2019-02-20 14:22:49	
2019-02-20 14:22:49	OK
2019-02-20 14:22:49	
2019-02-20 14:22:49	+CGREG: 2,4
2019-02-20 14:22:49	
2019-02-20 14:22:49	OK
2019-02-20 14:22:49	
2019-02-20 14:22:49	+CREG: 2,2
2019-02-20 14:22:49	
2019-02-20 14:22:49	OK
2019-02-20 14:22:49	
2019-02-20 14:22:49	+COPS: 0
2019-02-20 14:22:49	
2019-02-20 14:22:49	OK
2019-02-20 14:22:51	
2019-02-20 14:22:51	+CSQ: 99,99
2019-02-20 14:22:51	
2019-02-20 14:22:51	OK
2019-02-20 14:22:51	
2019-02-20 14:22:51	+CEREG: 2,2
2019-02-20 14:22:51	
2019-02-20 14:22:51	OK
2019-02-20 14:22:51	
2019-02-20 14:22:51	+CGREG: 2,4
2019-02-20 14:22:51	
2019-02-20 14:22:51	OK
2019-02-20 14:22:51	
2019-02-20 14:22:51	+CREG: 2,2
2019-02-20 14:22:51	
2019-02-20 14:22:51	OK
2019-02-20 14:22:55	
2019-02-20 14:22:55	+CSQ: 99,99
2019-02-20 14:22:55	
2019-02-20 14:22:55	OK
2019-02-20 14:22:55	
2019-02-20 14:22:55	+CEREG: 2,2
2019-02-20 14:22:55	
2019-02-20 14:22:55	OK
2019-02-20 14:22:55	
2019-02-20 14:22:55	+CGREG: 2,4
2019-02-20 14:22:55	
2019-02-20 14:22:55	OK
2019-02-20 14:22:55	
2019-02-20 14:22:55	+CREG: 2,2
2019-02-20 14:22:55	
2019-02-20 14:22:55	OK
2019-02-20 14:23:13	
2019-02-20 14:23:13	+CSQ: 99,99
2019-02-20 14:23:13	
2019-02-20 14:23:13	OK
2019-02-20 14:23:13	
2019-02-20 14:23:13	+CEREG: 2,2
2019-02-20 14:23:13	
2019-02-20 14:23:13	OK
